Gene1,Gene2
ATF4,ABI3
ATF4,ADAM22
ATF4,ADAM28
ATF4,AHCYL2
ATF4,AIG1
ATF4,AIM2
ATF4,ALDH2
ATF4,ALOX5AP
ATF4,ALPK1
ATF4,ANXA4
ATF4,AOAH
ATF4,APLF
ATF4,ARHGAP26
ATF4,ARHGEF12
ATF4,ARID5B
ATF4,ARSB
ATF4,ATAD2
ATF4,ATAD5
ATF4,ATF3
ATF4,ATG7
ATF4,ATP2B4
ATF4,ATRN
ATF4,AUNIP
ATF4,B3GALNT2
ATF4,BATF
ATF4,BCL2A1
ATF4,BCL6
ATF4,BEND6
ATF4,BICD1
ATF4,C9orf72
ATF4,CALCRL
ATF4,CAMK2D
ATF4,CCDC138
ATF4,CCDC50
ATF4,CCDC7
ATF4,CCL4
ATF4,CCL4L2
ATF4,CCL5
ATF4,CCNT2-AS1
ATF4,CCR6
ATF4,CCR7
ATF4,CD38
ATF4,CD96
ATF4,CDK1
ATF4,CENPM
ATF4,CENPP
ATF4,CEP126
ATF4,CHAC1
ATF4,CLECL1
ATF4,CMSS1
ATF4,COLGALT2
ATF4,CPPED1
ATF4,CRADD
ATF4,CTNNB1
ATF4,CYB561A3
ATF4,DAAM1
ATF4,DCDC2
ATF4,DDX60L
ATF4,DISP1
ATF4,DLEU1
ATF4,DLEU2
ATF4,DLG2
ATF4,DOCK8
ATF4,DPF3
ATF4,DPYSL2
ATF4,DUSP6
ATF4,DUT
ATF4,DYNC2H1
ATF4,EDA2R
ATF4,EEPD1
ATF4,EIF1AY
ATF4,EMP1
ATF4,ETV6
ATF4,FAAH2
ATF4,FAM168A
ATF4,FCER2
ATF4,FER
ATF4,FFAR3
ATF4,FGL2
ATF4,FHIT
ATF4,FILIP1L
ATF4,GAPDH
ATF4,GATA3
ATF4,GBP1
ATF4,GBP4
ATF4,GNS
ATF4,GPAT3
ATF4,GPC5
ATF4,GPR87
ATF4,HELLS
ATF4,HEPACAM2
ATF4,HERPUD1
ATF4,HK2
ATF4,HMGB2
ATF4,HMOX1
ATF4,HOPX
ATF4,IFIT1
ATF4,IFIT2
ATF4,IFIT3
ATF4,IL18R1
ATF4,IL1R1
ATF4,IL23R
ATF4,IL2RA
ATF4,IL7R
ATF4,IRAK3
ATF4,IRF7
ATF4,ISG15
ATF4,JAKMIP2
ATF4,JAML
ATF4,JDP2
ATF4,JUN
ATF4,KDM1B
ATF4,KLRD1
ATF4,KSR1
ATF4,LDHC
ATF4,LDLR
ATF4,LEF1
ATF4,LINC00476
ATF4,LINC00944
ATF4,LINC01934
ATF4,LINC02274
ATF4,LMO4
ATF4,LRIG1
ATF4,LRIG2-DT
ATF4,LRRFIP2
ATF4,LTA4H
ATF4,LUCAT1
ATF4,LY96
ATF4,LYPLAL1-DT
ATF4,MAPK8
ATF4,MAST4
ATF4,MCM7
ATF4,MICU1
ATF4,MIS18BP1
ATF4,MOB1B
ATF4,MTHFD1L
ATF4,MX1
ATF4,MYC
ATF4,MYO3B
ATF4,NAAA
ATF4,NARS2
ATF4,NCEH1
ATF4,NCF2
ATF4,NEDD4
ATF4,NFIA
ATF4,NFKBIZ
ATF4,NIBAN1
ATF4,NLRP12
ATF4,NLRP3
ATF4,NOP2
ATF4,NOTCH2
ATF4,NUBPL
ATF4,OPA3
ATF4,PACRG
ATF4,PCLAF
ATF4,PCOTH
