Gene1,Gene2
ARID3A,ACAP3
ARID3A,ACP2
ARID3A,ANAPC11
ARID3A,AP3S2
ARID3A,AP5S1
ARID3A,B3GALT6
ARID3A,BACH1
ARID3A,BCLAF1
ARID3A,C19orf25
ARID3A,CABLES2
ARID3A,CCDC157
ARID3A,CHRNA6
ARID3A,CLK3
ARID3A,CLUAP1
ARID3A,CNPY4
ARID3A,CRB1
ARID3A,CREM
ARID3A,DNAJB2
ARID3A,DYNC2H1
ARID3A,ELAVL3
ARID3A,ELOF1
ARID3A,FAM161B
ARID3A,FBXO36
ARID3A,FBXW5
ARID3A,GAA
ARID3A,GEMIN7
ARID3A,GTF2H4
ARID3A,HDAC2
ARID3A,IBA57
ARID3A,ING4
ARID3A,IPO4
ARID3A,IRF3
ARID3A,ITGA4
ARID3A,KDM1A
ARID3A,KDM5A
ARID3A,KDM7A
ARID3A,KLHDC9
ARID3A,LACTB2
ARID3A,LETM2
ARID3A,LYRM9
ARID3A,LZTFL1
ARID3A,MEF2A
ARID3A,MEF2C
ARID3A,MIB2
ARID3A,MRPL38
ARID3A,MRPS33
ARID3A,MYH7B
ARID3A,NBN
ARID3A,NFKB2
ARID3A,NPAS4
ARID3A,PAFAH2
ARID3A,PARD6B
ARID3A,PGAP2
ARID3A,PGBD2
ARID3A,POMZP3
ARID3A,PPFIA3
ARID3A,PTK2
ARID3A,RABGAP1L
ARID3A,RBBP5
ARID3A,RPS17
ARID3A,RPS26
ARID3A,RUNX3
ARID3A,RUVBL2
ARID3A,SGSM2
ARID3A,SIN3A
ARID3A,SLC25A45
ARID3A,SMARCD2
ARID3A,SMC1A
ARID3A,SMC3
ARID3A,SNTB1
ARID3A,SP1
ARID3A,SRF
ARID3A,STAT1
ARID3A,SUPT7L
ARID3A,SYCE2
ARID3A,SYVN1
ARID3A,TCF12
ARID3A,TPM1
ARID3A,TRIM41
ARID3A,TSR3
ARID3A,TTC4
ARID3A,TXLNB
ARID3A,USP35
ARID3A,VWC2
ARID3A,WDR74
ARID3A,WRAP53
ARID3A,ZBTB40
ARID3A,ZNF143
ARID3A,ZNF274
ARID3A,ZNF354A
ARID3A,ZNF408
ARID3A,ZNF571
ARID3A,ZNF75A
ARID3A,ZNF768
ARID3A,ZZZ3
ARNT,ABHD16A
ARNT,ABTB2
ARNT,ACP2
ARNT,ACSM3
ARNT,ACTR3C
ARNT,ADARB1
ARNT,ADARB2
ARNT,ALDH16A1
ARNT,ALDOC
ARNT,ANAPC11
ARNT,AP3S2
ARNT,AP5S1
ARNT,ARF5
ARNT,ARFRP1
ARNT,ARHGAP24
ARNT,ARHGEF17
ARNT,ART3
ARNT,ASH2L
ARNT,ATF3
ARNT,ATF7
ARNT,BACH1
ARNT,BATF
ARNT,BCLAF1
ARNT,BOLA1
ARNT,BRCA1
ARNT,BRD4
ARNT,BTN3A3
ARNT,C11orf65
ARNT,C12orf73
ARNT,C17orf64
ARNT,C22orf46
ARNT,C3orf18
ARNT,C6orf99
ARNT,CA11
ARNT,CABLES2
ARNT,CAMKK1
ARNT,CCDC110
ARNT,CCDC159
ARNT,CCL4
ARNT,CD52
ARNT,CD63
ARNT,CD96
ARNT,CDIP1
ARNT,CEBPZ
ARNT,CITED2
ARNT,CLN3
ARNT,CLPP
ARNT,CLUAP1
ARNT,CNPY4
ARNT,COMMD9
ARNT,CRB1
ARNT,CREB5
ARNT,CREM
ARNT,CUEDC2
ARNT,CYP1B1
ARNT,DBNDD1
ARNT,DENND6B
ARNT,DGAT1
ARNT,DNAJB2
ARNT,DSCR9
ARNT,E2F4
ARNT,E4F1
