Gene1,Gene2
ADNP,ABHD16A
ADNP,ACD
ADNP,ADNP
ADNP,ADTRP
ADNP,AFF1
ADNP,AGK
ADNP,AP2S1
ADNP,AP4B1
ADNP,ARAP1
ADNP,ATP8B3
ADNP,BCR
ADNP,BNIP1
ADNP,BOLA3
ADNP,C19orf47
ADNP,CABLES2
ADNP,CALM3
ADNP,CAND2
ADNP,CBX1
ADNP,CCDC116
ADNP,CDC5L
ADNP,CEP350
ADNP,CHST11
ADNP,CNOT4
ADNP,COMMD5
ADNP,COMTD1
ADNP,CSDE1
ADNP,CTNNB1
ADNP,CYP51A1
ADNP,DHPS
ADNP,DMAP1
ADNP,DPF2
ADNP,DUSP23
ADNP,E2F6
ADNP,EID2
ADNP,EMC10
ADNP,ETFDH
ADNP,FAF1
ADNP,FAM131A
ADNP,FASTK
ADNP,FBXO6
ADNP,FN3KRP
ADNP,FOXA3
ADNP,FOXJ3
ADNP,FZD1
ADNP,GGACT
ADNP,GNB2
ADNP,GSTM4
ADNP,GTF2H2
ADNP,GTF2IRD2B
ADNP,HDAC1
ADNP,HILPDA
ADNP,HNRNPLL
ADNP,HNRNPUL1
ADNP,INTS5
ADNP,IRGQ
ADNP,KDM1A
ADNP,KPTN
ADNP,LARP1
ADNP,MAML2
ADNP,MAN2C1
ADNP,MAP2K2
ADNP,MAPK1
ADNP,MATR3
ADNP,MED13L
ADNP,METTL3
ADNP,MTF2
ADNP,MXI1
ADNP,NABP2
ADNP,NBN
ADNP,NCAM2
ADNP,NICN1
ADNP,NME1-NME2
ADNP,NOXA1
ADNP,NR1H2
ADNP,NUP153
ADNP,NUP205
ADNP,NUP214
ADNP,ORC2
ADNP,OSBPL8
ADNP,PAGR1
ADNP,PARP3
ADNP,PCBD2
ADNP,PDP1
ADNP,PGBD2
ADNP,PHF19
ADNP,PI4KA
ADNP,PIGO
ADNP,PIH1D2
ADNP,PNISR
ADNP,PRAME
ADNP,PSMB9
ADNP,RABGAP1L
ADNP,RBKS
ADNP,REPIN1
ADNP,RFXANK
ADNP,RHBDF1
ADNP,RIF1
