,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190
TMF1,0.132626,0.0688073,0.4028667,0.0,0.1366972,0.0,0.2702407,0.132626,0.0,0.3317669,0.1376147,0.0,0.2148541,0.0,0.0,0.3830709,0.1343943,0.3521695,0.2572944,0.2590628,0.0,0.0,0.469496,0.0,0.7201259,0.0,0.0,0.0,0.2702407,0.1470469,0.1476569,0.2702407,0.5431452,0.2702407,0.0,0.0,0.0,0.0,0.0698497,0.1487488,0.0,0.3261017,0.152962,0.2668621,0.4452291,0.0,0.132626,0.2032682,0.5927554,0.1432361,0.132626,0.2702407,0.1502843,0.2572944,0.2631673,0.1376147,0.3562051,0.132626,0.1335102,0.0,0.0,0.0,0.0,0.132626,0.4423576,0.4386602,0.2631673,0.4752107,0.0,0.2263484,0.0,0.1335102,0.4847289,0.0,0.0,0.0,0.0,0.0,0.1874447,0.0917431,0.0,0.1981651,0.132626,0.2351901,0.2702407,0.132626,0.4084735,0.1872865,0.0,0.2649357,0.1376147,0.0742706,0.0,0.5572807,0.3020709,0.0,0.0,0.0,0.132626,0.0,0.0,0.066313,0.0,0.0688073,0.0,0.2772199,0.2176478,0.1881318,0.0,0.2051031,0.0,0.0688073,0.0,0.0688073,0.3059321,0.132626,0.2106077,0.0,0.1909814,0.0,0.1376147,0.0,0.3948839,0.0786914,0.206422,0.1376147,0.0,0.0,0.1918656,0.0688073,0.1605505,0.0688073,0.0,0.2394495,0.066313,0.1376147,0.0,0.0,0.3227232,0.2721672,0.1821397,0.3341948,0.0,0.0698497,0.132626,0.0,0.0,0.166055,0.4576465,0.3289125,0.0,0.0798165,0.0,0.1394495,0.0,0.4998232,0.0,0.0,0.351338,0.0,0.6099401,0.0,0.1553038,0.0,0.0,0.4774536,0.1376147,0.2702407,0.1352785,0.2528736,0.1954023,0.1485492,0.4095377,0.22458,0.0,0.0,0.5588576,0.2737774,0.1366972,0.0,0.0,0.3559138,0.0,0.1706454,0.1376147,0.0,0.1299735,0.0,0.0,0.0990274
FRRS1,0.0,0.0,0.0,0.1655629,0.2384106,0.0,0.0,0.0,0.0,0.0,0.1655629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743929,0.2626932,0.0,0.0,0.1501104,0.1655629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743929,0.0,0.0,0.1589404,0.1677704,0.0,0.2163355,0.2317881,0.0,0.0,0.0,0.0,0.0,0.0,0.192053,0.0,0.1655629,0.1655629,0.3399558,0.1501104,0.0,0.1788079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611479,0.0,0.0,0.0,0.0,0.2494481,0.0,0.0,0.1655629,0.209713,0.0,0.0,0.1611479,0.0,0.0,0.0,0.0,0.0,0.0,0.2207506,0.0,0.0,0.0,0.0,0.1854305,0.0,0.1699779,0.0,0.0,0.0,0.0,0.0,0.0,0.2185431,0.2384106,0.0,0.0,0.0,0.1611479,0.0,0.1633554,0.0,0.1655629,0.0,0.0,0.0,0.0,0.0,0.0,0.1655629,0.0,0.1611479,0.0,0.0,0.0,0.1810154,0.1655629,0.0,0.0,0.0,0.2538631,0.0,0.1655629,0.0,0.0,0.1721854,0.0,0.0,0.1942605,0.2185431,0.0,0.1677704,0.0,0.1986755,0.0,0.0,0.0,0.0,0.0,0.1655629,0.0,0.0,0.0,0.0,0.1611479,0.0,0.0,0.1743929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2406181,0.0,0.0,0.0,0.0,0.0,0.0,0.192053,0.183223,0.0,0.0331126,0.0,0.0,0.0,0.1655629,0.0,0.0,0.0,0.0,0.1655629,0.0,0.0,0.0,0.1655629,0.0,0.0,0.0,0.0
LAMA5,0.0566319,0.0,0.349851,0.1117735,0.426699,0.1571349,0.0,0.1959762,0.0,0.4552608,0.0,0.0,0.6127049,0.0,0.0,0.0,0.0,0.329918,0.0976155,0.0,0.2369598,0.1125186,0.07,0.0,0.1743666,0.0,0.0,0.0558867,0.0,0.233234,0.125,0.061848,0.1661699,0.0,0.1117735,0.0894188,0.0,0.1975,0.1117735,0.1991667,0.1163674,0.0968703,0.1676602,0.1117735,0.0394933,0.0,0.6467735,0.0,0.4867735,0.0,0.0640835,0.125,0.0,0.145,0.1117735,0.0529061,0.2367735,0.0,0.0596125,0.0,0.0,0.1050671,0.0,0.0,0.0,0.4802049,0.0,0.0,0.0,0.0,0.0,0.1533333,0.3359724,0.0,0.4034538,0.1117735,0.1117735,0.2986749,0.0566319,0.0866667,0.0,0.0,0.0,0.3671759,0.1117735,0.0,0.2026826,0.0,0.0,0.0,0.0,0.2650894,0.0,0.2096969,0.1117735,0.0,0.0,0.0,0.0700447,0.1117735,0.1572889,0.1516667,0.0,0.3559935,0.0,0.0864381,0.3752794,0.1594635,0.0,0.1875,0.0,0.3617735,0.0625931,0.1117735,0.8007526,0.4071349,0.1117735,0.0,0.1117735,0.0,0.1117735,0.0,0.3412767,0.2276068,0.0,0.125,0.0,0.0625931,0.1177347,0.0566319,0.0,0.1117735,0.3765835,0.0,0.0,0.125,0.328614,0.0,0.0,0.3358793,0.3492921,0.0875,0.0625,0.0,0.0,0.0,0.2402174,0.3410954,0.125,0.0,0.2391952,0.3467735,0.125,0.7434402,0.0469449,0.2414307,0.1742735,0.5775,0.210693,0.0,0.1676602,0.2384402,0.0,0.0,0.0,0.3617735,0.0849478,0.0,0.2868803,0.1721312,0.3097988,0.0,0.21,0.3953191,0.0,0.1117735,0.3133333,0.2367735,0.0,0.25,0.1311475,0.2358867,0.1250534,0.0603577,0.1925,0.1784402,0.0,0.3075633,0.0,0.1183333
RCC2,0.0,0.0,0.0833333,0.0,0.0833333,0.0,0.09375,0.0,0.0,0.1211111,0.0,0.0,0.0855556,0.0,0.6275,0.0,0.0,0.0,0.0,0.0,0.0,0.4490278,0.1875,0.09375,0.0,0.0,0.1875,0.0,0.09375,0.0,0.20375,0.3541667,0.0,0.0,0.0,0.0,0.4366667,0.1875,0.1525,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.5133333,0.2022222,0.0,0.1666667,0.0,0.1133333,0.1666667,0.285,0.1666667,0.0,0.0833333,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2708333,0.0,0.0,0.0,0.3222222,0.4911111,0.25375,0.0,0.0,0.0,0.0,0.0,0.22375,0.0,0.0,0.0,0.0,0.0,0.3533333,0.1875,0.1875,0.0,0.0,0.0833333,0.0,0.0,0.3266667,0.35875,0.0,0.09375,0.0,0.0,0.0,0.1244444,0.09375,0.3391667,0.0,0.0,0.0,0.12375,0.1793056,0.0,0.0,0.0,0.0,0.0,0.0,0.2604167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0922222,0.1225,0.0,0.0,0.0,0.1875,0.1666667,0.0,0.1875,0.09375,0.0,0.0,0.0,0.0,0.2148611,0.0,0.0,0.0,0.0,0.0,0.1677778,0.1666667,0.09375,0.0,0.0833333,0.1875,0.1875,0.0,0.0,0.0,0.1677778,0.0,0.1875,0.09375,0.0,0.3126389,0.1875,0.0,0.0,0.0,0.24375,0.0833333,0.0,0.16,0.09375,0.1666667,0.0,0.0,0.0,0.15125,0.0,0.2144444,0.0,0.0,0.0833333,0.0,0.1770833,0.25375,0.0,0.0,0.0,0.0,0.0
ELP2,0.0,0.0,0.1581818,0.15,0.1363636,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.1363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363636,0.1363636,0.034,0.0,0.0,0.4165454,0.0536364,0.0,0.3665455,0.0,0.2390909,0.1363636,0.0,0.1363636,0.0,0.0,0.232,0.4483636,0.3,0.3336364,0.1363636,0.0,0.0,0.0,0.104,0.1318182,0.0,0.0,0.2045455,0.0,0.0,0.4263636,0.3643636,0.0,0.3581818,0.0681818,0.0,0.0,0.0,0.0,0.0754545,0.0,0.0,0.124,0.1363636,0.0,0.0,0.0,0.1372727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363636,0.4941818,0.1363636,0.0,0.146,0.166,0.0,0.0,0.0,0.0681818,0.2645454,0.0,0.2136364,0.2263636,0.0,0.1172727,0.0,0.3,0.1363636,0.0,0.2636364,0.0,0.3663636,0.0,0.002,0.1327273,0.0,0.0,0.0,0.0,0.244,0.15,0.0,0.184,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363636,0.0,0.0,0.0,0.098,0.0,0.3063636,0.1381818,0.0,0.3,0.432,0.0,0.0,0.05,0.0,0.0,0.1363636,0.0,0.0,0.1990909,0.0681818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.1363636,0.0,0.094,0.1072727,0.194,0.0681818,0.0,0.0,0.0,0.1963636,0.0681818,0.1363636,0.0,0.0,0.0,0.0
ATF1,0.0,0.0,0.0882353,0.1211765,0.0882353,0.0,0.0882353,0.0,0.0,0.0,0.1570588,0.0588235,0.0888235,0.0441176,0.0064706,0.0,0.0441176,0.0882353,0.0,0.0,0.0,0.0,0.0447059,0.1241177,0.0,0.0,0.0,0.0,0.0441176,0.0,0.1294118,0.0,0.0882353,0.0441176,0.0,0.0,0.0,0.0,0.0441176,0.0,0.0882353,0.0,0.0,0.0,0.0,0.0,0.2676471,0.1764706,0.1870588,0.0,0.0,0.0535294,0.1152941,0.1447059,0.1258824,0.1694118,0.0882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941176,0.0,0.0547059,0.0,0.0,0.0,0.0,0.1082353,0.0458824,0.1452941,0.0,0.0,0.0,0.1817647,0.0,0.0,0.0,0.0882353,0.0647059,0.0,0.1764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711765,0.0,0.0,0.0,0.0,0.0882353,0.0,0.0,0.0864706,0.0882353,0.1052941,0.0,0.0,0.0888235,0.1576471,0.0,0.0,0.0,0.0882353,0.0441176,0.0488235,0.0882353,0.0,0.0441176,0.0,0.1482353,0.0,0.0458824,0.0,0.0723529,0.0,0.0,0.0882353,0.0,0.0711765,0.0441176,0.0,0.0805882,0.0,0.0517647,0.0,0.0,0.2094118,0.0882353,0.0,0.1352941,0.0576471,0.1611765,0.1494118,0.0,0.0882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370588,0.0,0.0,0.1270588,0.0,0.0882353,0.0441176,0.1582353,0.0,0.0,0.0,0.0,0.0,0.1064706,0.0441176,0.0711765,0.0488235,0.0488235,0.0,0.0382353,0.1605882,0.0,0.0,0.0,0.1270588,0.1952941,0.0,0.0882353,0.0882353,0.0,0.1511765,0.0,0.0,0.0,0.0458824,0.0,0.0
ANKS1,0.2972388,0.1824661,0.8297481,0.3818364,0.5185233,0.336405,0.5495748,0.115119,0.0534569,0.6177005,0.0,0.6420688,0.5364752,0.0,0.2550444,0.0042766,0.2625071,0.0,0.8864464,0.0042766,0.0,1.0520904,0.3761229,0.8259052,0.7402159,0.2866203,0.341061,0.0,1.2573114,0.6284157,0.8892067,0.8182974,0.6995589,0.4246383,0.8131962,0.2308955,0.1666115,0.0718182,0.1069138,0.4201783,0.48823,0.1363636,0.4328123,0.5451892,0.9114368,1.0512856,0.0,0.3241645,0.7779987,0.5929895,0.1145455,1.4963085,0.3274254,0.5413654,0.4152711,0.1504054,1.1706901,0.0,0.6822329,0.2361139,0.1539558,0.0534569,0.2197555,0.3403442,0.5338007,1.0189205,0.3731214,0.4284442,0.1361368,0.115119,0.2414403,0.2550444,0.6965085,0.6610973,0.4895936,0.1110164,0.0488918,0.0,0.7861621,0.6710283,0.2630597,0.1363636,0.2252252,0.2302379,0.8666667,0.5273802,0.3387405,0.6695485,0.2705224,0.0,0.7880806,0.5474312,0.0,1.3366055,0.1363636,0.0,0.1381818,0.0,0.4635012,0.5791816,0.2852836,0.7146574,0.1472069,1.6071956,0.0534569,0.3468639,0.8590423,0.4448969,0.1866667,0.2500048,0.0,0.6740662,0.0,0.1645845,1.0245643,0.17125,0.6333891,0.115119,1.1948996,0.115119,0.2576329,0.2742411,0.1363636,0.3413942,0.5015862,0.6774805,0.0,0.367867,0.6595302,0.6948652,0.0534569,0.0,1.0143884,0.1640108,0.4717959,1.9836271,0.4120848,0.1539558,0.843255,0.9593797,0.7469924,0.5601127,0.3162372,0.1069138,0.2116892,0.0,0.25,0.0977836,0.1977836,0.115119,0.4855565,0.5140161,0.1125,0.1069138,0.115,0.7880305,0.5332441,0.0,1.1751147,0.332139,0.8727087,0.0,0.7128015,0.2052744,0.0,0.5293087,0.2112883,0.0,0.5338536,0.7710226,0.8078708,0.1069138,0.3839646,0.0,0.0,0.3717178,0.1750956,0.4162144,0.8396679,0.252538,0.2518657,0.3488458,0.115119,0.9985721,0.9593513,0.2754896,0.2662784,0.2634459,0.0,0.1933823
GABBR1,0.0,0.0,0.7433333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2533333,0.0,0.0,0.2866667,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.2733333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7466667,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5933334,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2466667,0.0,0.3866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633333,0.0,0.25,0.25,0.0,0.25,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.2733333,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2866667,0.0,0.0,0.0,0.25,0.22,0.0,0.0,0.0,0.0,0.24,0.0,0.25,0.0,0.0,0.0,0.3733333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF14,0.1006036,0.2077465,0.2257143,0.2571429,0.18,0.0,0.1006036,0.1381623,0.0,0.2077465,0.2077465,0.2217304,0.1730382,0.1126761,0.3210933,0.0,0.1071429,0.1569417,0.1006036,0.1052985,0.1071429,0.0,0.1457143,0.2184607,0.0728571,0.0,0.095,0.0,0.5342991,0.4306036,0.0,0.3564487,0.3038465,0.1607143,0.0,0.0,0.0,0.0503018,0.2085848,0.2570322,0.2771697,0.5151811,0.0992857,0.0516432,0.1474681,0.2240107,0.0,0.42,0.1971831,0.34,0.1320858,0.0535714,0.302334,0.2367304,0.0503018,0.4146345,0.4244902,0.2642857,0.1006036,0.0535714,0.29,0.1467304,0.0,0.3014286,0.0140845,0.0,0.0503018,0.2674447,0.1006036,0.1874447,0.1006036,0.0536553,0.333786,0.2142857,0.2580483,0.3399832,0.0535714,0.0,0.0657143,0.1006036,0.1071429,0.1006036,0.1602951,0.0,0.0492857,0.3954259,0.4616265,0.0535714,0.0,0.0,0.1710262,0.6244836,0.0,0.2278571,0.0,0.0,0.0,0.0,0.1204058,0.0,0.244175,0.3974279,0.1006036,0.4455902,0.0,0.0564286,0.444668,0.4966197,0.0,0.0905433,0.0,0.6734574,0.3522737,0.1185714,0.5396646,0.0,0.1071429,0.1195875,0.154175,0.0,0.0724346,0.0918846,0.0851777,0.0,0.1071429,0.0,0.0,0.2084607,0.5144668,0.155,0.1071429,0.0851777,0.1006036,0.105,0.1038732,0.1706036,0.2634607,0.0,0.3328404,0.1945003,0.3156237,0.0912139,0.2435714,0.0928571,0.0,0.0,0.0549966,0.314175,0.2171429,0.0492857,0.0,0.0503018,0.0,0.0,0.1006036,0.4372502,0.1870926,0.0,0.2142857,0.3088732,0.1759289,0.2448021,0.3343427,0.0,0.0,0.3674414,0.2685446,0.1071429,0.1085714,0.1616667,0.0,0.2597787,0.3977197,0.2136352,0.0,0.0,0.209886,0.0,0.0,0.0,0.1006036,0.5520154,0.0,0.258719,0.3023139,0.2983502,0.1006036,0.1220657,0.0,0.0
CNOT8,0.315,0.291627,0.0713606,0.0,0.3872502,0.0713606,0.1217888,0.0713606,0.1874405,0.2745005,0.0,0.0713606,0.2911513,0.2611798,0.1788773,0.0,0.0713606,0.2911513,0.1588963,0.0713606,0.1255947,0.2139629,0.1893435,0.2136061,0.197431,0.1427212,0.14,0.2045671,0.8082255,0.1175071,0.1726927,0.1427212,0.0,0.2431018,0.0,0.1022835,0.0,0.0,0.2706946,0.197431,0.2716461,0.1260704,0.2439407,0.1203616,0.5943879,0.0713606,0.1960038,0.2949572,0.1798287,0.1736442,0.0,0.1336822,0.0713606,0.0713606,0.1289248,0.2364415,0.2183635,0.0704091,0.385823,0.0713606,0.1640136,0.0,0.0,0.1065652,0.1384396,0.1355852,0.0356803,0.0,0.0713606,0.0713606,0.0675547,0.2777307,0.6234222,0.0409134,0.273549,0.125,0.0371075,0.0,0.0713606,0.3258801,0.0,0.0,0.3739296,0.150333,0.0713606,0.1341579,0.2974881,0.0,0.0713606,0.0713606,0.1788773,0.3149382,0.056137,0.4595623,0.384299,0.0713606,0.0432921,0.1427212,0.0432921,0.0,0.1179829,0.0918173,0.0,0.2388202,0.0713606,0.0,0.0837298,0.3415794,0.0,0.1384396,0.0437678,0.3164891,0.0,0.0,0.253568,0.0932445,0.2315652,0.0,0.0637488,0.1745956,0.0,0.125,0.1279734,0.0,0.1550904,0.0,0.0713606,0.0,0.1707897,0.2269267,0.2963606,0.0713606,0.1931494,0.1279734,0.0485252,0.2901998,0.3196955,0.036156,0.1103711,0.1427212,0.2050428,0.2440533,0.2183635,0.3517729,0.1098953,0.0713606,0.2321599,0.2435775,0.2450048,0.1816667,0.1427212,0.112274,0.0713606,0.0404377,0.2369172,0.3758325,0.125,0.1427212,0.2835395,0.0,0.3482398,0.1655566,0.3696479,0.1845861,0.2030273,0.2797336,0.0409134,0.0,0.4969077,0.311608,0.5076768,0.0,0.1127498,0.1170314,0.0,0.152236,0.170314,0.1070409,0.2307326,0.0713606,0.0356803,0.2649857,0.0713606,0.5696384,0.1726927,0.0713606,0.0,0.0356803,0.0713606,0.0
