Gene1,Gene2
ARID1A,DIDO1
ARID1A,MSH6
ARID1A,SFI1
ARID1A,IL33
ARID1A,TRP53BP1
ARID1A,LRPAP1
ARID1A,ETV1
ARID1A,GSTA4
ARID1A,FUBP3
ARID1A,RBM14
ARID1A,ANKRD6
ARID1A,LAMC1
ARID1A,FRRS1
ARID1A,SHROOM3
ARID1A,PLOD1
ARID1A,NR5A2
ARID1A,ZFP148
ARID1A,CHD7
ARID1A,HSPB1
ARID1A,BCAM
ARID1A,RBPJ
ARID1A,LAMB2
ARID1A,HMCES
ARID1A,MME
ARID1A,TCF7L2
ARID1A,TSPAN9
ARID1A,GNPDA1
ARID1A,TCF4
ARID1A,IFITM1
ARID1A,AIP
ARID1A,ASH2L
ARID1A,MBD2
ARID1A,CALD1
ARID1A,NCOA3
ARID1A,KHDRBS1
ARID1A,BARD1
ARID1A,SMARCA5
ARID1A,TPD52
ARID1A,PARVB
ARID1A,PDK1
ARID1A,ARHGAP29
ARID1A,ETV5
ARID1A,LOXL2
ARID1A,EP400
ARID1A,WWTR1
ARID1A,DDB1
ARID1A,FOXH1
ARID1A,CST3
ARID1A,HTT
ARID1A,CRIP2
ARID1A,CDKN1A
ARID1A,TFRC
ARID1A,PTPN14
ARID1A,GABBR1
ARID1A,KLF3
ARID1A,PHC1
ARID1A,POU2F1
ARID1A,TUBB2B
ARID1A,HMGXB4
ARID1A,RBFOX2
ARID1A,AMPD2
ARID1A,ASXL1
ARID1A,SND1
ARID1A,NFE2L1
ARID1A,MLXIP
ARID1A,PIAS1
ARID1A,SERTAD2
BTAF1,SATB1
BTAF1,HMGXB4
BTAF1,HIST1H2BK
BTAF1,CUX2
BTAF1,SFI1
BTAF1,CUX1
BTAF1,SIN3B
BTAF1,CITED2
BTAF1,BNIP3
BTAF1,MAML3
BTAF1,FUS
BTAF1,ASXL1
BTAF1,RBPJ
BTAF1,PCBP2
BTAF1,TAF5
BTAF1,ZFP335
BTAF1,TFRC
BTAF1,ELF1
BTAF1,NOTCH2
BTAF1,SMARCA5
BTAF1,HSP90AA1
BTAF1,ULK1
BTAF1,E2F6
BTAF1,ELP2
BTAF1,SMARCD1
BTAF1,PHF20
BTAF1,ATF1
BTAF1,DIDO1
BTAF1,KPNA2
BTAF1,GLDC
BTAF1,ASH2L
BTAF1,EP400
BTAF1,GDPD5
BTAF1,FXR2
BTAF1,ODC1
BTAF1,RANBP17
BTAF1,SRRT
BTAF1,MAML1
BTAF1,ALPL
BTAF1,RFX2
BTAF1,RNF14
BTAF1,COBL
BTAF1,NRF1
BTAF1,PRDM5
BTAF1,ORC2
BTAF1,TPM4
BTAF1,TPD52
BTAF1,PDK1
BTAF1,NEDD4
BTAF1,FBLIM1
BTAF1,PHC1
BTAF1,BRD7
BTAF1,SHROOM3
BTAF1,EZH1
BTAF1,ARID1A
BTAF1,ZBTB39
BTAF1,RBL1
BTAF1,FOXJ3
BTAF1,TIMELESS
BTAF1,CTNNBIP1
BTAF1,NUP210
BTAF1,RAD54B
BTAF1,TEAD4
BTAF1,YEATS2
BTAF1,CBX7
BTAF1,ASNS
BTAF1,RFX7
BTAF1,CAR2
BTAF1,TULP3
BTAF1,KEAP1
BTAF1,ZFP148
BTAF1,FUBP3
BTAF1,E2F2
BTAF1,GLIS2
BTAF1,GSR
BTAF1,MLXIP
BTAF1,SMARCAD1
BTAF1,TSG101
BTAF1,MARC2
BTAF1,HMCES
BTAF1,NOTCH1
